name,height,weight,base_experience,height_m,weight_kg,bmi
grafaiai,7,272,170.0,0.7,27.2,55.51020408163266
bramblin,6,6,55.0,0.6,0.6,1.6666666666666667
brambleghast,12,60,168.0,1.2,6.0,4.166666666666667
toedscool,9,330,67.0,0.9,33.0,40.74074074074074
toedscruel,19,580,180.0,1.9,58.0,16.066481994459835
klawf,13,790,158.0,1.3,79.0,46.74556213017751
capsakid,3,30,61.0,0.3,3.0,33.333333333333336
scovillain,9,150,170.0,0.9,15.0,18.51851851851852
rellor,2,10,54.0,0.2,1.0,24.999999999999996
rabsca,3,35,165.0,0.3,3.5,38.88888888888889
flittle,2,15,51.0,0.2,1.5,37.49999999999999
espathra,19,900,168.0,1.9,90.0,24.930747922437675
tinkatink,4,89,59.0,0.4,8.9,55.62499999999999
tinkatuff,7,591,133.0,0.7,59.1,120.6122448979592
tinkaton,7,1128,253.0,0.7,112.8,230.20408163265307
wiglett,12,18,49.0,1.2,1.8,1.25
wugtrio,12,54,149.0,1.2,5.4,3.7500000000000004
bombirdier,15,429,243.0,1.5,42.9,19.066666666666666
finizen,13,602,63.0,1.3,60.2,35.62130177514793
palafin-zero,13,602,160.0,1.3,60.2,35.62130177514793
varoom,10,350,60.0,1.0,35.0,35.0
revavroom,18,1200,175.0,1.8,120.0,37.03703703703704
cyclizar,16,630,175.0,1.6,63.0,24.609374999999996
orthworm,25,3100,240.0,2.5,310.0,49.6
glimmet,7,80,70.0,0.7,8.0,16.326530612244902
glimmora,15,450,184.0,1.5,45.0,20.0
greavard,6,350,58.0,0.6,35.0,97.22222222222223
houndstone,20,150,171.0,2.0,15.0,3.75
flamigo,16,370,175.0,1.6,37.0,14.453124999999996
cetoddle,12,450,67.0,1.2,45.0,31.25
cetitan,45,7000,182.0,4.5,700.0,34.5679012345679
veluza,25,900,167.0,2.5,90.0,14.4
dondozo,120,2200,265.0,12.0,220.0,1.5277777777777777
tatsugiri-curly,3,80,166.0,0.3,8.0,88.88888888888889
annihilape,12,560,268.0,1.2,56.0,38.88888888888889
clodsire,18,2230,151.0,1.8,223.0,68.82716049382715
farigiraf,32,1600,260.0,3.2,160.0,15.624999999999996
dudunsparce-two-segment,36,392,182.0,3.6,39.2,3.0246913580246915
kingambit,20,1200,275.0,2.0,120.0,30.0
great-tusk,22,3200,285.0,2.2,320.0,66.11570247933884
scream-tail,12,80,285.0,1.2,8.0,5.555555555555555
brute-bonnet,12,210,285.0,1.2,21.0,14.583333333333334
flutter-mane,14,40,285.0,1.4,4.0,2.0408163265306127
slither-wing,32,920,285.0,3.2,92.0,8.984374999999998
sandy-shocks,23,600,285.0,2.3,60.0,11.342155009451798
iron-treads,9,2400,285.0,0.9,240.0,296.2962962962963
iron-bundle,6,110,285.0,0.6,11.0,30.555555555555557
iron-hands,18,3807,285.0,1.8,380.7,117.49999999999999
iron-jugulis,13,1110,285.0,1.3,111.0,65.68047337278105
iron-moth,12,360,285.0,1.2,36.0,25.0
iron-thorns,16,3030,285.0,1.6,303.0,118.35937499999997
frigibax,5,170,64.0,0.5,17.0,68.0
arctibax,8,300,148.0,0.8,30.0,46.87499999999999
baxcalibur,21,2100,300.0,2.1,210.0,47.61904761904762
gimmighoul,3,50,60.0,0.3,5.0,55.55555555555556
gholdengo,12,300,275.0,1.2,30.0,20.833333333333336
wo-chien,15,742,285.0,1.5,74.2,32.97777777777778
chien-pao,19,1522,285.0,1.9,152.2,42.1606648199446
ting-lu,27,6997,285.0,2.7,699.7,95.98079561042523
chi-yu,4,49,285.0,0.4,4.9,30.624999999999996
roaring-moon,20,3800,295.0,2.0,380.0,95.0
iron-valiant,14,350,295.0,1.4,35.0,17.85714285714286
koraidon,25,3030,335.0,2.5,303.0,48.48
miraidon,35,2400,335.0,3.5,240.0,19.591836734693878
walking-wake,35,2800,295.0,3.5,280.0,22.857142857142858
iron-leaves,15,1250,295.0,1.5,125.0,55.55555555555556
dipplin,4,97,170.0,0.4,9.7,60.624999999999986
poltchageist,1,11,62.0,0.1,1.1,109.99999999999999
sinistcha,2,22,178.0,0.2,2.2,54.99999999999999
okidogi,18,922,278.0,1.8,92.2,28.456790123456788
munkidori,10,122,278.0,1.0,12.2,12.2
fezandipiti,14,301,278.0,1.4,30.1,15.35714285714286
ogerpon,12,398,275.0,1.2,39.8,27.63888888888889
archaludon,20,600,300.0,2.0,60.0,15.0
hydrapple,18,930,270.0,1.8,93.0,28.703703703703702
gouging-fire,35,5900,295.0,3.5,590.0,48.16326530612245
raging-bolt,52,4800,295.0,5.2,480.0,17.751479289940825
iron-boulder,15,1625,295.0,1.5,162.5,72.22222222222223
iron-crown,16,1560,295.0,1.6,156.0,60.937499999999986
terapagos,2,65,90.0,0.2,6.5,162.49999999999997
pecharunt,3,3,300.0,0.3,0.3,3.3333333333333335
deoxys-attack,17,608,270.0,1.7,60.8,21.038062283737027
deoxys-defense,17,608,270.0,1.7,60.8,21.038062283737027
deoxys-speed,17,608,270.0,1.7,60.8,21.038062283737027
wormadam-sandy,5,65,148.0,0.5,6.5,26.0
wormadam-trash,5,65,148.0,0.5,6.5,26.0
shaymin-sky,4,52,270.0,0.4,5.2,32.49999999999999
giratina-origin,69,6500,340.0,6.9,650.0,13.652593992858641
rotom-heat,3,3,182.0,0.3,0.3,3.3333333333333335
rotom-wash,3,3,182.0,0.3,0.3,3.3333333333333335
rotom-frost,3,3,182.0,0.3,0.3,3.3333333333333335
rotom-fan,3,3,182.0,0.3,0.3,3.3333333333333335
rotom-mow,3,3,182.0,0.3,0.3,3.3333333333333335
castform-sunny,3,8,147.0,0.3,0.8,8.88888888888889
castform-rainy,3,8,147.0,0.3,0.8,8.88888888888889
castform-snowy,3,8,147.0,0.3,0.8,8.88888888888889
basculin-blue-striped,10,180,161.0,1.0,18.0,18.0
darmanitan-zen,13,929,189.0,1.3,92.9,54.97041420118343
meloetta-pirouette,6,65,270.0,0.6,6.5,18.055555555555557
tornadus-therian,14,630,290.0,1.4,63.0,32.142857142857146
thundurus-therian,30,610,290.0,3.0,61.0,6.777777777777778
landorus-therian,13,680,300.0,1.3,68.0,40.23668639053254
kyurem-black,33,3250,350.0,3.3,325.0,29.84389348025712
kyurem-white,36,3250,350.0,3.6,325.0,25.077160493827158
keldeo-resolute,14,485,290.0,1.4,48.5,24.744897959183678
meowstic-female,6,85,163.0,0.6,8.5,23.61111111111111
aegislash-blade,17,530,250.0,1.7,53.0,18.339100346020764
pumpkaboo-small,3,35,67.0,0.3,3.5,38.88888888888889
pumpkaboo-large,5,75,67.0,0.5,7.5,30.0
pumpkaboo-super,8,150,67.0,0.8,15.0,23.437499999999996
gourgeist-small,7,95,173.0,0.7,9.5,19.38775510204082
gourgeist-large,11,140,173.0,1.1,14.0,11.570247933884296
gourgeist-super,17,390,173.0,1.7,39.0,13.494809688581316
venusaur-mega,24,1555,281.0,2.4,155.5,26.99652777777778
charizard-mega-x,17,1105,285.0,1.7,110.5,38.235294117647065
charizard-mega-y,17,1005,285.0,1.7,100.5,34.775086505190316
blastoise-mega,16,1011,284.0,1.6,101.1,39.49218749999999
alakazam-mega,12,480,270.0,1.2,48.0,33.333333333333336
gengar-mega,14,405,270.0,1.4,40.5,20.66326530612245
kangaskhan-mega,22,1000,207.0,2.2,100.0,20.661157024793386
pinsir-mega,17,590,210.0,1.7,59.0,20.41522491349481
gyarados-mega,65,3050,224.0,6.5,305.0,7.218934911242603
aerodactyl-mega,21,790,215.0,2.1,79.0,17.913832199546484
mewtwo-mega-x,23,1270,351.0,2.3,127.0,24.007561436672972
mewtwo-mega-y,15,330,351.0,1.5,33.0,14.666666666666666
ampharos-mega,14,615,275.0,1.4,61.5,31.377551020408166
scizor-mega,20,1250,210.0,2.0,125.0,31.25
heracross-mega,17,625,210.0,1.7,62.5,21.626297577854675
houndoom-mega,19,495,210.0,1.9,49.5,13.711911357340721
tyranitar-mega,25,2550,315.0,2.5,255.0,40.8
blaziken-mega,19,520,284.0,1.9,52.0,14.40443213296399
gardevoir-mega,16,484,278.0,1.6,48.4,18.906249999999996
mawile-mega,10,235,168.0,1.0,23.5,23.5
aggron-mega,22,3950,284.0,2.2,395.0,81.61157024793387
medicham-mega,13,315,179.0,1.3,31.5,18.63905325443787
manectric-mega,18,440,201.0,1.8,44.0,13.580246913580247
banette-mega,12,130,194.0,1.2,13.0,9.027777777777779
absol-mega,12,490,198.0,1.2,49.0,34.02777777777778
garchomp-mega,19,950,315.0,1.9,95.0,26.315789473684212
lucario-mega,13,575,219.0,1.3,57.5,34.02366863905325
abomasnow-mega,27,1850,208.0,2.7,185.0,25.377229080932782
floette-eternal,2,9,243.0,0.2,0.9,22.499999999999996
latias-mega,18,520,315.0,1.8,52.0,16.049382716049383
latios-mega,23,700,315.0,2.3,70.0,13.232514177693764
swampert-mega,19,1020,286.0,1.9,102.0,28.254847645429365
sceptile-mega,19,552,284.0,1.9,55.2,15.290858725761774
sableye-mega,5,1610,168.0,0.5,161.0,644.0
altaria-mega,15,206,207.0,1.5,20.6,9.155555555555557
gallade-mega,16,564,278.0,1.6,56.4,22.031249999999996
audino-mega,15,320,425.0,1.5,32.0,14.222222222222221
sharpedo-mega,25,1303,196.0,2.5,130.3,20.848000000000003
slowbro-mega,20,1200,207.0,2.0,120.0,30.0
steelix-mega,105,7400,214.0,10.5,740.0,6.712018140589569
pidgeot-mega,22,505,261.0,2.2,50.5,10.43388429752066
glalie-mega,21,3502,203.0,2.1,350.2,79.41043083900226
diancie-mega,11,278,315.0,1.1,27.8,22.975206611570243
metagross-mega,25,9429,315.0,2.5,942.9,150.864
kyogre-primal,98,4300,347.0,9.8,430.0,4.4773011245314445
groudon-primal,50,9997,347.0,5.0,999.7,39.988
rayquaza-mega,108,3920,351.0,10.8,392.0,3.36076817558299
pikachu-rock-star,4,60,112.0,0.4,6.0,37.49999999999999
pikachu-belle,4,60,112.0,0.4,6.0,37.49999999999999
pikachu-pop-star,4,60,112.0,0.4,6.0,37.49999999999999
pikachu-phd,4,60,112.0,0.4,6.0,37.49999999999999
pikachu-libre,4,60,112.0,0.4,6.0,37.49999999999999
pikachu-cosplay,4,60,112.0,0.4,6.0,37.49999999999999
hoopa-unbound,65,4900,306.0,6.5,490.0,11.597633136094675
camerupt-mega,25,3205,196.0,2.5,320.5,51.28
lopunny-mega,13,283,203.0,1.3,28.3,16.745562130177515
salamence-mega,18,1126,315.0,1.8,112.6,34.75308641975308
beedrill-mega,14,405,223.0,1.4,40.5,20.66326530612245
rattata-alola,3,38,51.0,0.3,3.8,42.22222222222222
raticate-alola,7,255,145.0,0.7,25.5,52.04081632653062
raticate-totem-alola,14,1050,145.0,1.4,105.0,53.57142857142858
pikachu-original-cap,4,60,112.0,0.4,6.0,37.49999999999999
pikachu-hoenn-cap,4,60,112.0,0.4,6.0,37.49999999999999
pikachu-sinnoh-cap,4,60,112.0,0.4,6.0,37.49999999999999
pikachu-unova-cap,4,60,112.0,0.4,6.0,37.49999999999999
pikachu-kalos-cap,4,60,112.0,0.4,6.0,37.49999999999999
pikachu-alola-cap,4,60,112.0,0.4,6.0,37.49999999999999
raichu-alola,7,210,243.0,0.7,21.0,42.85714285714286
sandshrew-alola,7,400,60.0,0.7,40.0,81.6326530612245
sandslash-alola,12,550,158.0,1.2,55.0,38.19444444444444
vulpix-alola,6,99,60.0,0.6,9.9,27.500000000000004
ninetales-alola,11,199,177.0,1.1,19.9,16.446280991735534
diglett-alola,2,10,53.0,0.2,1.0,24.999999999999996
dugtrio-alola,7,666,149.0,0.7,66.6,135.9183673469388
meowth-alola,4,42,58.0,0.4,4.2,26.249999999999996
persian-alola,11,330,154.0,1.1,33.0,27.27272727272727
geodude-alola,4,203,60.0,0.4,20.3,126.87499999999999
graveler-alola,10,1100,137.0,1.0,110.0,110.0
golem-alola,17,3160,223.0,1.7,316.0,109.34256055363323
grimer-alola,7,420,65.0,0.7,42.0,85.71428571428572
muk-alola,10,520,175.0,1.0,52.0,52.0
exeggutor-alola,109,4156,186.0,10.9,415.6,3.498022052015824
marowak-alola,10,340,149.0,1.0,34.0,34.0
greninja-battle-bond,15,400,239.0,1.5,40.0,17.77777777777778
greninja-ash,15,400,288.0,1.5,40.0,17.77777777777778
zygarde-10-power-construct,12,335,243.0,1.2,33.5,23.26388888888889
zygarde-50-power-construct,50,3050,300.0,5.0,305.0,12.2
zygarde-complete,45,6100,354.0,4.5,610.0,30.123456790123456
gumshoos-totem,14,600,146.0,1.4,60.0,30.612244897959187
vikavolt-totem,26,1475,225.0,2.6,147.5,21.819526627218934
oricorio-pom-pom,6,34,167.0,0.6,3.4,9.444444444444445
oricorio-pau,6,34,167.0,0.6,3.4,9.444444444444445
oricorio-sensu,6,34,167.0,0.6,3.4,9.444444444444445
lycanroc-midnight,11,250,170.0,1.1,25.0,20.661157024793386
wishiwashi-school,82,786,217.0,8.2,78.6,1.1689470553242118
lurantis-totem,15,580,168.0,1.5,58.0,25.77777777777778
salazzle-totem,21,810,168.0,2.1,81.0,18.36734693877551
minior-orange-meteor,3,400,154.0,0.3,40.0,444.44444444444446
minior-yellow-meteor,3,400,154.0,0.3,40.0,444.44444444444446
minior-green-meteor,3,400,154.0,0.3,40.0,444.44444444444446
minior-blue-meteor,3,400,154.0,0.3,40.0,444.44444444444446
minior-indigo-meteor,3,400,154.0,0.3,40.0,444.44444444444446
minior-violet-meteor,3,400,154.0,0.3,40.0,444.44444444444446
minior-red,3,3,175.0,0.3,0.3,3.3333333333333335
minior-orange,3,3,175.0,0.3,0.3,3.3333333333333335
minior-yellow,3,3,175.0,0.3,0.3,3.3333333333333335
minior-green,3,3,175.0,0.3,0.3,3.3333333333333335
minior-blue,3,3,175.0,0.3,0.3,3.3333333333333335
minior-indigo,3,3,175.0,0.3,0.3,3.3333333333333335
minior-violet,3,3,175.0,0.3,0.3,3.3333333333333335
mimikyu-busted,2,7,167.0,0.2,0.7,17.499999999999996
mimikyu-totem-disguised,4,28,167.0,0.4,2.8,17.499999999999996
mimikyu-totem-busted,4,28,167.0,0.4,2.8,17.499999999999996
kommo-o-totem,24,2075,270.0,2.4,207.5,36.02430555555556
magearna-original,10,805,300.0,1.0,80.5,80.5
pikachu-partner-cap,4,60,112.0,0.4,6.0,37.49999999999999
marowak-totem,17,980,149.0,1.7,98.0,33.91003460207613
ribombee-totem,4,20,162.0,0.4,2.0,12.499999999999998
rockruff-own-tempo,5,92,56.0,0.5,9.2,36.8
lycanroc-dusk,8,250,170.0,0.8,25.0,39.06249999999999
araquanid-totem,31,2175,159.0,3.1,217.5,22.632674297606656
togedemaru-totem,6,130,152.0,0.6,13.0,36.111111111111114
necrozma-dusk,38,4600,340.0,3.8,460.0,31.855955678670362
necrozma-dawn,42,3500,340.0,4.2,350.0,19.841269841269842
necrozma-ultra,75,2300,339.0,7.5,230.0,4.088888888888889
pikachu-starter,4,60,86.0,0.4,6.0,37.49999999999999
eevee-starter,3,65,87.0,0.3,6.5,72.22222222222223
pikachu-world-cap,4,60,112.0,0.4,6.0,37.49999999999999
meowth-galar,4,75,58.0,0.4,7.5,46.87499999999999
ponyta-galar,8,240,82.0,0.8,24.0,37.49999999999999
rapidash-galar,17,800,175.0,1.7,80.0,27.68166089965398
slowpoke-galar,12,360,63.0,1.2,36.0,25.0
slowbro-galar,16,705,172.0,1.6,70.5,27.539062499999993
farfetchd-galar,8,420,132.0,0.8,42.0,65.62499999999999
weezing-galar,30,160,172.0,3.0,16.0,1.7777777777777777
mr-mime-galar,14,568,161.0,1.4,56.8,28.979591836734695
articuno-galar,17,509,290.0,1.7,50.9,17.612456747404845
zapdos-galar,16,582,290.0,1.6,58.2,22.734374999999996
moltres-galar,20,660,290.0,2.0,66.0,16.5
slowking-galar,18,795,172.0,1.8,79.5,24.537037037037035
corsola-galar,6,5,144.0,0.6,0.5,1.3888888888888888
zigzagoon-galar,4,175,56.0,0.4,17.5,109.37499999999999
linoone-galar,5,325,147.0,0.5,32.5,130.0
darumaka-galar,7,400,63.0,0.7,40.0,81.6326530612245
darmanitan-galar-standard,17,1200,168.0,1.7,120.0,41.52249134948097
darmanitan-galar-zen,17,1200,189.0,1.7,120.0,41.52249134948097
yamask-galar,5,15,61.0,0.5,1.5,6.0
stunfisk-galar,7,205,165.0,0.7,20.5,41.83673469387756
zygarde-10,12,335,243.0,1.2,33.5,23.26388888888889
cramorant-gulping,8,180,166.0,0.8,18.0,28.124999999999993
cramorant-gorging,8,180,166.0,0.8,18.0,28.124999999999993
toxtricity-low-key,16,400,176.0,1.6,40.0,15.624999999999996
eiscue-noice,14,890,165.0,1.4,89.0,45.40816326530613
indeedee-female,9,280,166.0,0.9,28.0,34.5679012345679
morpeko-hangry,3,30,153.0,0.3,3.0,33.333333333333336
zacian-crowned,28,3550,360.0,2.8,355.0,45.280612244897966
zamazenta-crowned,29,7850,360.0,2.9,785.0,93.34126040428062
eternatus-eternamax,1000,0,563.0,100.0,0.0,0.0
urshifu-rapid-strike,19,1050,275.0,1.9,105.0,29.085872576177287
zarude-dada,18,700,300.0,1.8,70.0,21.604938271604937
calyrex-ice,24,8091,340.0,2.4,809.1,140.46875
calyrex-shadow,24,536,340.0,2.4,53.6,9.305555555555555
venusaur-gmax,240,10000,236.0,24.0,1000.0,1.7361111111111112
charizard-gmax,280,10000,240.0,28.0,1000.0,1.2755102040816326
blastoise-gmax,250,10000,239.0,25.0,1000.0,1.6
butterfree-gmax,170,10000,178.0,17.0,1000.0,3.4602076124567476
pikachu-gmax,210,10000,112.0,21.0,1000.0,2.2675736961451247
meowth-gmax,330,10000,58.0,33.0,1000.0,0.9182736455463728
machamp-gmax,250,10000,227.0,25.0,1000.0,1.6
gengar-gmax,200,10000,225.0,20.0,1000.0,2.5
kingler-gmax,190,10000,166.0,19.0,1000.0,2.770083102493075
lapras-gmax,240,10000,187.0,24.0,1000.0,1.7361111111111112
eevee-gmax,180,10000,65.0,18.0,1000.0,3.0864197530864197
snorlax-gmax,350,10000,189.0,35.0,1000.0,0.8163265306122449
garbodor-gmax,210,10000,166.0,21.0,1000.0,2.2675736961451247
melmetal-gmax,250,10000,270.0,25.0,1000.0,1.6
rillaboom-gmax,280,10000,265.0,28.0,1000.0,1.2755102040816326
cinderace-gmax,270,10000,265.0,27.0,1000.0,1.3717421124828533
inteleon-gmax,400,10000,265.0,40.0,1000.0,0.625
corviknight-gmax,140,10000,248.0,14.0,1000.0,5.1020408163265305
orbeetle-gmax,140,10000,253.0,14.0,1000.0,5.1020408163265305
drednaw-gmax,240,10000,170.0,24.0,1000.0,1.7361111111111112
coalossal-gmax,420,10000,255.0,42.0,1000.0,0.5668934240362812
flapple-gmax,240,10000,170.0,24.0,1000.0,1.7361111111111112
appletun-gmax,240,10000,170.0,24.0,1000.0,1.7361111111111112
sandaconda-gmax,220,10000,179.0,22.0,1000.0,2.0661157024793386
toxtricity-amped-gmax,240,10000,176.0,24.0,1000.0,1.7361111111111112
centiskorch-gmax,750,10000,184.0,75.0,1000.0,0.17777777777777778
hatterene-gmax,260,10000,255.0,26.0,1000.0,1.4792899408284024
grimmsnarl-gmax,320,10000,255.0,32.0,1000.0,0.9765625
alcremie-gmax,300,10000,173.0,30.0,1000.0,1.1111111111111112
copperajah-gmax,230,10000,175.0,23.0,1000.0,1.890359168241966
duraludon-gmax,430,10000,187.0,43.0,1000.0,0.5408328826392644
urshifu-single-strike-gmax,290,10000,275.0,29.0,1000.0,1.1890606420927468
urshifu-rapid-strike-gmax,260,10000,275.0,26.0,1000.0,1.4792899408284024
toxtricity-low-key-gmax,240,10000,176.0,24.0,1000.0,1.7361111111111112
growlithe-hisui,8,227,70.0,0.8,22.7,35.46874999999999
arcanine-hisui,20,1680,194.0,2.0,168.0,42.0
voltorb-hisui,5,130,66.0,0.5,13.0,52.0
electrode-hisui,12,710,172.0,1.2,71.0,49.30555555555556
typhlosion-hisui,16,698,240.0,1.6,69.8,27.265624999999993
qwilfish-hisui,5,39,88.0,0.5,3.9,15.6
sneasel-hisui,9,270,86.0,0.9,27.0,33.33333333333333
samurott-hisui,15,582,238.0,1.5,58.2,25.866666666666667
lilligant-hisui,12,192,168.0,1.2,19.2,13.333333333333334
zorua-hisui,7,125,66.0,0.7,12.5,25.510204081632658
zoroark-hisui,16,730,179.0,1.6,73.0,28.515624999999993
braviary-hisui,17,434,179.0,1.7,43.4,15.017301038062286
sliggoo-hisui,7,685,158.0,0.7,68.5,139.79591836734696
goodra-hisui,17,3341,270.0,1.7,334.1,115.60553633217995
avalugg-hisui,14,2624,180.0,1.4,262.4,133.87755102040816
decidueye-hisui,16,370,239.0,1.6,37.0,14.453124999999996
dialga-origin,70,8487,306.0,7.0,848.7,17.320408163265306
palkia-origin,63,6590,306.0,6.3,659.0,16.603678508440414
basculin-white-striped,10,180,161.0,1.0,18.0,18.0
basculegion-female,30,1100,265.0,3.0,110.0,12.222222222222221
enamorus-therian,16,480,116.0,1.6,48.0,18.749999999999996
tauros-paldea-combat-breed,14,1150,172.0,1.4,115.0,58.67346938775511
tauros-paldea-blaze-breed,14,850,172.0,1.4,85.0,43.36734693877552
tauros-paldea-aqua-breed,14,1100,172.0,1.4,110.0,56.122448979591844
wooper-paldea,4,110,42.0,0.4,11.0,68.74999999999999
oinkologne-female,10,1200,171.0,1.0,120.0,120.0
dudunsparce-three-segment,45,474,182.0,4.5,47.4,2.3407407407407406
palafin-hero,18,974,160.0,1.8,97.4,30.061728395061728
maushold-family-of-three,3,28,165.0,0.3,2.8,31.11111111111111
tatsugiri-droopy,3,80,166.0,0.3,8.0,88.88888888888889
tatsugiri-stretchy,3,80,166.0,0.3,8.0,88.88888888888889
squawkabilly-blue-plumage,6,24,146.0,0.6,2.4,6.666666666666667
squawkabilly-yellow-plumage,6,24,146.0,0.6,2.4,6.666666666666667
squawkabilly-white-plumage,6,24,146.0,0.6,2.4,6.666666666666667
gimmighoul-roaming,1,10,60.0,0.1,1.0,99.99999999999999
koraidon-limited-build,35,3030,335.0,3.5,303.0,24.73469387755102
koraidon-sprinting-build,35,3030,335.0,3.5,303.0,24.73469387755102
koraidon-swimming-build,35,3030,335.0,3.5,303.0,24.73469387755102
koraidon-gliding-build,35,3030,335.0,3.5,303.0,24.73469387755102
miraidon-low-power-mode,28,2400,335.0,2.8,240.0,30.612244897959187
miraidon-drive-mode,28,2400,335.0,2.8,240.0,30.612244897959187
miraidon-aquatic-mode,28,2400,335.0,2.8,240.0,30.612244897959187
miraidon-glide-mode,28,2400,335.0,2.8,240.0,30.612244897959187
ursaluna-bloodmoon,24,2900,275.0,2.4,290.0,50.34722222222222
ogerpon-wellspring-mask,12,398,275.0,1.2,39.8,27.63888888888889
ogerpon-hearthflame-mask,12,398,275.0,1.2,39.8,27.63888888888889
ogerpon-cornerstone-mask,12,398,275.0,1.2,39.8,27.63888888888889
terapagos-terastal,3,160,90.0,0.3,16.0,177.77777777777777
terapagos-stellar,17,770,90.0,1.7,77.0,26.643598615916957
clefable-mega,17,423,,1.7,42.3,14.636678200692042
victreebel-mega,45,1255,,4.5,125.5,6.197530864197531
starmie-mega,23,800,,2.3,80.0,15.12287334593573
dragonite-mega,55,2900,,5.5,290.0,9.586776859504132
meganium-mega,24,2010,,2.4,201.0,34.895833333333336
feraligatr-mega,23,1088,,2.3,108.8,20.567107750472594
skarmory-mega,17,404,,1.7,40.4,13.97923875432526
froslass-mega,26,296,,2.6,29.6,4.378698224852071
emboar-mega,18,1803,,1.8,180.3,55.648148148148145
excadrill-mega,9,600,,0.9,60.0,74.07407407407408
scolipede-mega,32,2305,,3.2,230.5,22.509765624999996
scrafty-mega,11,310,,1.1,31.0,25.6198347107438
eelektross-mega,30,1800,,3.0,180.0,20.0
chandelure-mega,25,696,,2.5,69.6,11.136
chesnaught-mega,16,900,,1.6,90.0,35.15624999999999
delphox-mega,15,390,,1.5,39.0,17.333333333333332
greninja-mega,15,400,,1.5,40.0,17.77777777777778
pyroar-mega,15,933,,1.5,93.3,41.46666666666667
floette-mega,2,1008,,0.2,100.8,2519.9999999999995
malamar-mega,29,698,,2.9,69.8,8.299643281807372
barbaracle-mega,22,1000,,2.2,100.0,20.661157024793386
dragalge-mega,21,1003,,2.1,100.3,22.7437641723356
hawlucha-mega,10,250,,1.0,25.0,25.0
zygarde-mega,77,6100,,7.7,610.0,10.288412885815482
drampa-mega,30,2405,,3.0,240.5,26.72222222222222
falinks-mega,16,990,,1.6,99.0,38.67187499999999
raichu-mega-x,12,380,,1.2,38.0,26.38888888888889
raichu-mega-y,10,260,,1.0,26.0,26.0
chimecho-mega,12,80,,1.2,8.0,5.555555555555555
absol-mega-z,12,490,,1.2,49.0,34.02777777777778
staraptor-mega,19,500,,1.9,50.0,13.850415512465375
garchomp-mega-z,19,990,,1.9,99.0,27.423822714681442
lucario-mega-z,13,494,,1.3,49.4,29.230769230769226
heatran-mega,28,5700,,2.8,570.0,72.70408163265307
darkrai-mega,30,2400,,3.0,240.0,26.666666666666668
golurk-mega,40,3300,,4.0,330.0,20.625
meowstic-mega,8,101,,0.8,10.1,15.781249999999996
crabominable-mega,26,2528,,2.6,252.8,37.39644970414201
golisopod-mega,23,1480,,2.3,148.0,27.9773156899811
magearna-mega,13,2481,,1.3,248.1,146.80473372781063
magearna-original-mega,13,2481,,1.3,248.1,146.80473372781063
zeraora-mega,15,445,,1.5,44.5,19.77777777777778
scovillain-mega,12,220,,1.2,22.0,15.277777777777779
glimmora-mega,28,770,,2.8,77.0,9.821428571428573
tatsugiri-curly-mega,6,240,,0.6,24.0,66.66666666666667
tatsugiri-droopy-mega,6,240,,0.6,24.0,66.66666666666667
tatsugiri-stretchy-mega,6,240,,0.6,24.0,66.66666666666667
baxcalibur-mega,21,3150,,2.1,315.0,71.42857142857143
